GCF_002214165.1	1920749	1920749	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon Mia14	Candidatus_Micrarchaeota_archaeon_Mia14
GCA_000220375.1	889948	889948	cellular organisms;Archaea;DPANN group;Candidatus Nanohaloarchaeota;Nanohaloarchaea;Candidatus Nanosalina;Candidatus Nanosalina sp. J07AB43	Candidatus_Nanosalina_sp_J07AB43_
GCA_000220355.1	889962	889962	cellular organisms;Archaea;DPANN group;Candidatus Nanohaloarchaeota;Nanohaloarchaea;Candidatus Nanosalinarum;Candidatus Nanosalinarum sp. J07AB56	Candidatus_Nanosalinarum_sp_J07AB56_
GCA_001761425.1	1737403	1737403	cellular organisms;Archaea;DPANN group;Candidatus Nanohaloarchaeota;Nanohaloarchaea;unclassified Nanohaloarchaea;Nanohaloarchaea archaeon SG9	Nanohaloarchaea_archaeon_SG9_
GCA_002686355.1	2026773	2026773	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon	Candidatus_Pacearchaeota_archaeon_
GCA_002780285.1	1974435	1974435	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG06_land_8_20_14_3_00_35_12	Candidatus_Pacearchaeota_archaeon_CG06_land_8_20_14_3_00_35_12_
GCA_002763155.1	1974437	1974437	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_30_48	Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_30_48_
GCA_002763165.1	1974438	1974438	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_31_24	Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_31_24_
GCA_002763115.1	1974439	1974439	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_31_59	Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_31_59_
GCA_002794195.1	1974442	1974442	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_32_42	Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_32_42_
GCA_002794175.1	1974443	1974443	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_12	Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_34_12_
GCA_002763075.1	1974444	1974444	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_76	Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_34_76_
GCA_002794155.1	1974446	1974446	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_35_219	Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_35_219_
GCA_002762735.1	1974447	1974447	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG11_big_fil_rev_8_21_14_0_20_30_13	Candidatus_Pacearchaeota_archaeon_CG11_big_fil_rev_8_21_14_0_20_30_13_
GCA_001872125.1	1805293	1805293	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG1_02_30_18	Candidatus_Pacearchaeota_archaeon_CG1_02_30_18_
GCA_001872145.1	1805294	1805294	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG1_02_31_27	Candidatus_Pacearchaeota_archaeon_CG1_02_31_27_
GCA_001872795.1	1805295	1805295	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG1_02_32_132	Candidatus_Pacearchaeota_archaeon_CG1_02_32_132_
GCA_001872325.1	1805297	1805297	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG1_02_35_32	Candidatus_Pacearchaeota_archaeon_CG1_02_35_32_
GCA_001872315.1	1805298	1805298	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG1_02_39_14	Candidatus_Pacearchaeota_archaeon_CG1_02_39_14_
GCA_002792675.1	1974425	1974425	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG_4_10_14_0_2_um_filter_30_11	Candidatus_Pacearchaeota_archaeon_CG_4_10_14_0_2_um_filter_30_11_
GCA_002792655.1	1974426	1974426	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG_4_10_14_0_2_um_filter_31_10	Candidatus_Pacearchaeota_archaeon_CG_4_10_14_0_2_um_filter_31_10_
GCA_002792635.1	1974427	1974427	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG_4_10_14_0_2_um_filter_35_33	Candidatus_Pacearchaeota_archaeon_CG_4_10_14_0_2_um_filter_35_33_
GCA_002784645.1	1974428	1974428	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG_4_10_14_0_8_um_filter_35_169	Candidatus_Pacearchaeota_archaeon_CG_4_10_14_0_8_um_filter_35_169_
GCA_002788615.1	1974430	1974430	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG_4_9_14_0_2_um_filter_39_13	Candidatus_Pacearchaeota_archaeon_CG_4_9_14_0_2_um_filter_39_13_
GCA_002789435.1	1974431	1974431	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG_4_9_14_0_8_um_filter_35_24	Candidatus_Pacearchaeota_archaeon_CG_4_9_14_0_8_um_filter_35_24_
GCA_002790875.1	1974432	1974432	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG_4_9_14_3_um_filter_30_11	Candidatus_Pacearchaeota_archaeon_CG_4_9_14_3_um_filter_30_11_
GCA_002790905.1	1974434	1974434	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon CG_4_9_14_3_um_filter_35_19	Candidatus_Pacearchaeota_archaeon_CG_4_9_14_3_um_filter_35_19_
GCA_001787285.1	1801880	1801880	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon RBG_13_33_26	Candidatus_Pacearchaeota_archaeon_RBG_13_33_26_
GCA_001786415.1	1801883	1801883	cellular organisms;Archaea;DPANN group;Candidatus Pacearchaeota;Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9	Candidatus_Pacearchaeota_archaeon_RBG_19FT_COMBO_34_9_
GCA_002412065.1	662760	662759	cellular organisms;Archaea;DPANN group;Candidatus Parvarchaeota;Candidatus Parvarchaeum;Candidatus Parvarchaeum acidiphilum	Candidatus_Parvarchaeum_acidiphilum_ARMAN-4_
GCA_002412085.1	662762	662761	cellular organisms;Archaea;DPANN group;Candidatus Parvarchaeota;Candidatus Parvarchaeum;Candidatus Parvarchaeum acidophilus	Candidatus_Parvarchaeum_acidophilus_ARMAN-5_
GCA_002688315.1	2026803	2026803	cellular organisms;Archaea;DPANN group;Candidatus Woesearchaeota;Candidatus Woesearchaeota archaeon	Candidatus_Woesearchaeota_archaeon_
GCA_002779235.1	1974453	1974453	cellular organisms;Archaea;DPANN group;Candidatus Woesearchaeota;Candidatus Woesearchaeota archaeon CG07_land_8_20_14_0_80_44_23	Candidatus_Woesearchaeota_archaeon_CG07_land_8_20_14_0_80_44_23_
GCA_002762845.1	1974462	1974462	cellular organisms;Archaea;DPANN group;Candidatus Woesearchaeota;Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_36_11	Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_36_11_
GCA_002762795.1	1974463	1974463	cellular organisms;Archaea;DPANN group;Candidatus Woesearchaeota;Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_37_12	Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_37_12_
GCA_002762985.1	1974464	1974464	cellular organisms;Archaea;DPANN group;Candidatus Woesearchaeota;Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_44_13	Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_44_13_
GCA_002762785.1	1974465	1974465	cellular organisms;Archaea;DPANN group;Candidatus Woesearchaeota;Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_16	Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_45_16_
GCA_002792115.1	1974449	1974449	cellular organisms;Archaea;DPANN group;Candidatus Woesearchaeota;Candidatus Woesearchaeota archaeon CG_4_10_14_0_2_um_filter_33_13	Candidatus_Woesearchaeota_archaeon_CG_4_10_14_0_2_um_filter_33_13_
GCA_000008085.1	228908	160232	cellular organisms;Archaea;DPANN group;Nanoarchaeota;Nanoarchaeales;Nanoarchaeaceae;Nanoarchaeum;Nanoarchaeum equitans	Nanoarchaeum_equitans_Kin4-M_
GCA_000387965.1	1294122	1294122	cellular organisms;Archaea;DPANN group;Nanoarchaeota;Nanoarchaeales;Nanopusillaceae;Candidatus Nanobsidianus;Candidatus Nanobsidianus stetteri	Candidatus_Nanobsidianus_stetteri_
GCA_002687825.1	2026764	2026764	cellular organisms;Archaea;DPANN group;Nanoarchaeota;unclassified Nanoarchaeota;Nanoarchaeota archaeon	Nanoarchaeota_archaeon_
